Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Bam Adebayo,PF,22,MIA,72,72,33.6,6.1,11.0,.557,0.0,0.2,.143,6.1,10.8,.564,.558,3.7,5.3,.691,2.4,7.8,10.2,5.1,1.1,1.3,2.8,2.5,15.9
Kyle Alexander,C,23,MIA,2,0,6.5,0.5,1.0,.500,0.0,0.0,0,0.5,1.0,.500,.500,0.0,0.0,0,1.0,0.5,1.5,0.0,0.0,0.0,0.5,0.5,1.0
Grayson Allen,SG,24,MEM,38,0,18.9,3.1,6.6,.466,1.5,3.7,.404,1.6,2.9,.545,.580,1.0,1.2,.867,0.2,2.0,2.2,1.4,0.3,0.1,0.9,1.4,8.7
Jarrett Allen,C,21,BRK,70,64,26.5,4.3,6.6,.649,0.0,0.1,.000,4.3,6.6,.658,.649,2.4,3.9,.633,3.1,6.5,9.6,1.6,0.6,1.3,1.1,2.3,11.1
Justin Anderson,SG,26,BRK,10,1,10.7,1.0,3.8,.263,0.6,2.9,.207,0.4,0.9,.444,.342,0.2,0.4,.500,0.1,2.0,2.1,0.8,0.0,0.6,0.4,1.3,2.8
Kyle Anderson,SF,26,MEM,67,28,19.9,2.3,4.9,.474,0.4,1.3,.282,2.0,3.7,.541,.511,0.8,1.2,.667,0.9,3.4,4.3,2.4,0.8,0.6,1.0,1.7,5.8
Ryan Anderson,C,31,HOU,2,0,7.0,1.0,3.5,.286,0.5,2.5,.200,0.5,1.0,.500,.357,0.0,0.0,0,0.0,3.5,3.5,1.0,0.5,0.0,0.5,0.5,2.5
Kostas Antetokounmpo,PF,22,LAL,5,0,4.0,0.6,0.6,1.000,0.0,0.0,0,0.6,0.6,1.000,1.000,0.2,0.4,.500,0.4,0.2,0.6,0.4,0.0,0.0,0.2,0.4,1.4
Ryan Arcidiacono,PG,25,CHI,58,4,16.0,1.6,3.8,.409,0.9,2.4,.391,0.6,1.4,.439,.532,0.5,0.7,.711,0.3,1.6,1.9,1.7,0.5,0.1,0.6,1.7,4.5
Dwayne Bacon,SG,24,CHO,39,11,17.6,2.2,6.3,.348,0.5,1.7,.284,1.7,4.5,.373,.387,0.9,1.4,.660,0.4,2.2,2.6,1.3,0.6,0.1,0.9,1.3,5.7
